SO Description,CustCode,Dsg Ctg,Prod Ctg,PPC Delivery Period,Factory,Set Type,MS Qty,WS Qty,KT,Total Bag Bal,Bal To Prod Qty,Bal To Exp Qty,BalToMfg,CastBal
Natural Diamond Bracelet,CUST0084,RING BRIDAL,EVERYDAY WEAR,Due,F2,MS,18,0,14K92,381,212,113,90,100
LGD Halo Ring Order,CUST0055,PENDANT,VINTAGE STYLE,W30-2026,F9,WS,0,45,09KPT,968,4,23,85,38
Natural Diamond Anklet,CUST0085,EARRING,BRIDAL COLLECTION,W51-2026,F4,MS,40,0,U18K,180,478,241,296,179
LGD Pendant Collection,CUST0099,PENDANT,CLASSIC COLLECTION,W30-2026,F2,WS/MS,6,11,10K,981,5,97,361,52
Mined Stone Brooch Order,CUST0088,BANGLE,STATEMENT PIECES,W07-2026,F9,WS,0,29,S925,784,157,127,241,174
LGD Tennis Bracelet Order,CUST0038,RING,MODERN DESIGN,Overdue,F10,WS,0,38,14K92,513,459,134,111,34
LGD Diamond Earring Set,CUST0051,RING,MODERN DESIGN,W05-2026,F1,WS,0,39,PT95,825,136,291,400,61
Natural Diamond Anklet,CUST0084,RING,LUXURY LINE,W43-2026,F3,WS,0,38,U18K,988,310,293,52,170
Natural Diamond Bangle Order,CUST0071,EARRING,FASHION JEWELRY,Due,F4,MS,46,0,S930,56,192,205,132,166
Natural Diamond Bangle Order,CUST0099,EARRING,FINE JEWELRY,W13-2026,F9,WS/MS,26,14,U18K,551,222,175,90,175
Natural Diamond Anklet,CUST0008,NECKLACE,CLASSIC COLLECTION,W29-2026,F4,MS,26,0,10K92,629,126,161,73,152
Natural Diamond Ring Order,CUST0053,EARRING,FASHION JEWELRY,To Check,F1,MS,42,0,10K,671,213,116,257,121
Mined Stone Earring Set,CUST0096,EARRING,STATEMENT PIECES,W45-2026,F3,MS,32,0,18K,165,267,252,206,83
LGD Diamond Ring Order,CUST0006,RING BRIDAL,CLASSIC COLLECTION,W18-2026,F9,MS,6,0,14K,247,114,292,120,70
Natural Diamond Anklet,CUST0071,EARRING,FASHION JEWELRY,W48-2026,F9,WS/MS,29,23,10K,325,435,195,250,141
Natural Diamond Anklet,CUST0036,NECK PIECE,LUXURY LINE,Overdue,F4,WS,0,48,PT95,637,426,249,60,33
LGD Halo Ring Order,CUST0048,BOLO BRACELET,CLASSIC COLLECTION,Overdue,F10,WS/MS,10,1,18K,887,91,216,385,81
Natural Diamond Bracelet,CUST0018,EAR PARTY,FASHION JEWELRY,W14-2026,F10,MS,14,0,14K,296,463,106,237,148
LGD Bridal Set Order,CUST0048,EARRING,STATEMENT PIECES,W43-2026,F1,WS/MS,17,19,09K,681,367,279,133,78
Mined Stone Earring Set,CUST0001,RING,FINE JEWELRY,W50-2026,F9,WS/MS,29,1,09K92,879,116,227,268,104
LGD Tennis Bracelet Order,CUST0017,RING BRIDAL,MODERN DESIGN,W04-2026,F1,WS/MS,12,20,BRASS,299,318,56,168,3
Mined Stone Earring Set,CUST0086,BRACELET,FINE JEWELRY,W50-2026,F2,MS,49,0,U14K,150,328,51,318,37
Mined Stone Brooch Order,CUST0062,BOLO BRACELET,STATEMENT PIECES,Due,F3,WS,0,2,U09K,993,422,172,41,101
LGD Pendant Collection,CUST0057,NECKLACE,VINTAGE STYLE,W05-2026,F2,WS,0,27,10K92,724,286,279,7,172
LGD Pendant Collection,CUST0019,EARRING,EVERYDAY WEAR,W50-2026,F10,MS,40,0,10K92,292,453,223,205,169
Mined Stone Brooch Order,CUST0033,RING,FASHION JEWELRY,W13-2026,F10,WS/MS,11,19,S930,164,468,199,169,121
LGD Diamond Ring Order,CUST0090,RING,BRIDAL COLLECTION,W03-2026,F2,WS/MS,18,25,09KPT,741,305,296,366,115
Natural Diamond Bangle Order,CUST0044,RING,FASHION JEWELRY,Due,F2,MS,44,0,09KPT,201,380,15,292,61
Natural Diamond Ring Order,CUST0098,RING,STATEMENT PIECES,W34-2026,F3,WS,0,49,U10K,20,66,97,95,159
Natural Diamond Ring Order,CUST0047,EARRING,LUXURY LINE,W19-2026,F9,WS/MS,24,11,14K92,815,420,112,46,17
Mined Stone Brooch Order,CUST0062,RING BRIDAL,BRIDAL COLLECTION,W16-2026,F10,WS/MS,19,7,10K,622,200,197,348,75
Natural Diamond Ring Order,CUST0045,EARRING,FINE JEWELRY,Due,F9,WS,0,21,S928,805,379,97,252,2
LGD Diamond Earring Set,CUST0085,RING BRIDAL,VINTAGE STYLE,Overdue,F3,MS,20,0,S930,289,453,56,232,60
Mined Stone Earring Set,CUST0081,BRACELET,BRIDAL COLLECTION,W15-2026,F1,WS,0,15,U10K,487,19,242,13,60
Natural Diamond Bracelet,CUST0008,PENDANT,LUXURY LINE,W37-2026,F1,MS,34,0,09K92,925,45,97,100,76
Mined Diamond Bridal Set,CUST0087,PENDANT,FASHION JEWELRY,Due,F9,MS,45,0,18K,16,297,86,265,99
Mined Diamond Bridal Set,CUST0024,RING BRIDAL,FINE JEWELRY,Due,F2,MS,5,0,U14K,451,448,53,217,63
LGD Diamond Bangle,CUST0075,NECK PIECE,CLASSIC COLLECTION,W44-2026,F10,WS,0,25,S928,231,445,13,176,77
LGD Tennis Bracelet Order,CUST0010,RING,BRIDAL COLLECTION,W33-2026,F2,MS,20,0,U18K,373,249,98,210,163
Mined Stone Earring Set,CUST0079,BANGLE,LUXURY LINE,W17-2026,F1,WS,0,30,S925,663,46,108,369,39
LGD Solitaire Engagement Ring,CUST0013,EAR PARTY,CLASSIC COLLECTION,Overdue,F9,WS/MS,23,21,U10K,454,229,79,12,69
LGD Halo Ring Order,CUST0013,NECKLACE,FINE JEWELRY,Overdue,F3,WS,0,3,09K,720,324,198,136,60
Mined Diamond Bridal Set,CUST0047,RING,BRIDAL COLLECTION,W31-2026,F1,MS,2,0,S928,784,467,60,396,147
LGD Bridal Set Order,CUST0021,NECKLACE,EVERYDAY WEAR,W48-2026,F4,MS,25,0,09K,86,153,141,28,84
LGD Tennis Bracelet Order,CUST0081,EARRING,VINTAGE STYLE,Due,F4,WS,0,25,09K92,451,464,144,288,54
Natural Diamond Bracelet,CUST0062,RING,STATEMENT PIECES,Due,F2,WS/MS,22,23,BRASS,675,278,192,159,106
Mined Diamond Necklace Order,CUST0047,RING,BRIDAL COLLECTION,W03-2026,F4,MS,17,0,S930,742,340,130,395,7
Mined Stone Brooch Order,CUST0017,RING BRIDAL,STATEMENT PIECES,W02-2026,F4,WS,0,11,S930,786,54,264,148,118
Mined Stone Ring Collection,CUST0047,RING,FASHION JEWELRY,Overdue,F4,MS,31,0,10K92,234,349,227,142,194
LGD Diamond Bangle,CUST0083,BOLO BRACELET,MODERN DESIGN,Due,F1,WS/MS,21,11,S928,428,150,270,139,124
LGD Bridal Set Order,CUST0064,NECKLACE,STATEMENT PIECES,W10-2026,F10,WS,0,27,U10K,823,378,186,158,23
LGD Diamond Bangle,CUST0083,PENDANT,MODERN DESIGN,W47-2026,F3,MS,27,0,S925,42,8,102,344,54
Natural Diamond Ring Order,CUST0060,ANKLET,EVERYDAY WEAR,Due,F10,MS,18,0,S928,46,413,235,79,80
Natural Stone Pendant,CUST0024,RING BRIDAL,CLASSIC COLLECTION,Due,F4,WS,0,23,S925,756,133,128,297,175
LGD Eternity Ring,CUST0057,PENDANT,CLASSIC COLLECTION,To Check,F10,WS,0,3,09K,840,126,274,50,13
LGD Halo Ring Order,CUST0100,BOLO BRACELET,FASHION JEWELRY,W01-2026,F4,WS,0,4,BRASS,262,469,179,59,87
Mined Stone Ring Collection,CUST0041,ANKLET,STATEMENT PIECES,W13-2026,F1,MS,7,0,14K92,711,457,282,254,126
LGD Pendant Collection,CUST0057,RING,STATEMENT PIECES,W35-2026,F1,MS,8,0,18K,917,106,122,153,52
Mined Diamond Bridal Set,CUST0085,RING,FASHION JEWELRY,W07-2026,F1,WS/MS,23,15,14K92,804,472,286,34,190
Mined Stone Brooch Order,CUST0033,EARRING,FINE JEWELRY,W39-2026,F4,WS,0,29,S930,373,6,43,152,157
LGD Diamond Bangle,CUST0039,BRACELET,LUXURY LINE,W28-2026,F3,MS,37,0,U10K,806,392,233,106,102
LGD Eternity Ring,CUST0018,RING BRIDAL,MODERN DESIGN,Due,F10,WS/MS,28,7,U09K,258,138,55,281,59
LGD Diamond Bangle,CUST0039,RING,FASHION JEWELRY,W34-2026,F9,WS,0,4,U09K,113,137,175,193,34
LGD Pendant Collection,CUST0020,ANKLET,FINE JEWELRY,Due,F3,WS,0,33,S925,363,345,269,103,83
Mined Stone Brooch Order,CUST0095,RING,EVERYDAY WEAR,W20-2026,F3,WS,0,16,09KPT,324,160,279,202,101
Mined Stone Brooch Order,CUST0039,ANKLET,FASHION JEWELRY,Due,F10,MS,43,0,U18K,349,494,126,2,100
Mined Diamond Necklace Order,CUST0051,BOLO BRACELET,LUXURY LINE,W38-2026,F9,MS,31,0,U09K,780,198,205,252,178
Natural Diamond Bracelet,CUST0072,RING,CLASSIC COLLECTION,W31-2026,F4,WS,0,34,10K92,956,494,295,295,76
LGD Eternity Ring,CUST0071,PENDANT,LUXURY LINE,Overdue,F4,MS,45,0,U09K,361,122,121,193,109
Natural Diamond Anklet,CUST0013,RING BRIDAL,LUXURY LINE,W06-2026,F4,WS/MS,18,9,PT95,706,53,215,243,53
LGD Halo Ring Order,CUST0048,NECKLACE,MODERN DESIGN,W27-2026,F1,MS,8,0,10K92,262,166,167,329,66
LGD Diamond Bangle,CUST0080,PENDANT,CLASSIC COLLECTION,W16-2026,F9,WS/MS,11,13,18K,211,465,292,276,1
Natural Diamond Bangle Order,CUST0011,RING BRIDAL,LUXURY LINE,Due,F2,WS/MS,25,21,S930,976,380,111,199,93
Mined Stone Earring Set,CUST0033,RING BRIDAL,LUXURY LINE,W09-2026,F10,MS,42,0,BRASS,544,329,181,152,12
Natural Stone Pendant,CUST0074,PENDANT,STATEMENT PIECES,Overdue,F1,MS,4,0,18K,951,421,262,39,96
Natural Diamond Ring Order,CUST0060,RING,CLASSIC COLLECTION,W14-2026,F10,WS,0,33,S925,670,313,48,293,175
LGD Diamond Necklace,CUST0020,PENDANT,LUXURY LINE,W25-2026,F3,MS,22,0,U10K,346,345,298,335,16
Mined Diamond Necklace Order,CUST0074,RING,FINE JEWELRY,W31-2026,F10,MS,14,0,18K,223,456,124,135,8
LGD Solitaire Engagement Ring,CUST0050,BRACELET,BRIDAL COLLECTION,Due,F9,WS/MS,20,29,09K,640,66,180,204,40
Natural Diamond Bangle Order,CUST0091,NECKLACE,FASHION JEWELRY,W44-2026,F2,MS,39,0,U14K,708,155,74,316,153
Mined Stone Brooch Order,CUST0036,PENDANT,MODERN DESIGN,To Check,F3,WS/MS,17,12,09KPT,617,374,32,342,128
Mined Diamond Necklace Order,CUST0073,EARRING,EVERYDAY WEAR,Due,F1,MS,42,0,PT95,574,387,235,75,82
LGD Pendant Collection,CUST0052,EARRING,FINE JEWELRY,W18-2026,F4,WS/MS,16,17,U09K,581,24,172,278,33
Natural Stone Pendant,CUST0046,BANGLE,VINTAGE STYLE,W23-2026,F10,MS,39,0,10K92,586,165,201,199,9
LGD Halo Ring Order,CUST0082,RING BRIDAL,STATEMENT PIECES,W01-2026,F2,WS,0,20,S930,817,160,172,189,133
LGD Diamond Earring Set,CUST0043,PENDANT,MODERN DESIGN,W21-2026,F2,MS,4,0,18K,832,416,227,279,33
LGD Diamond Necklace,CUST0059,RING BRIDAL,FINE JEWELRY,W23-2026,F9,WS,0,23,10K,899,196,214,289,86
LGD Tennis Bracelet Order,CUST0031,EARRING,FINE JEWELRY,Due,F4,MS,41,0,U18K,801,426,279,362,167
Mined Stone Brooch Order,CUST0098,RING,BRIDAL COLLECTION,W35-2026,F2,MS,34,0,U09K,187,363,236,390,164
Mined Stone Brooch Order,CUST0037,PENDANT,STATEMENT PIECES,W30-2026,F1,MS,39,0,PT95,875,85,141,0,53
Mined Stone Brooch Order,CUST0032,RING,FASHION JEWELRY,W44-2026,F9,MS,38,0,14K92,734,318,10,154,20
LGD Tennis Bracelet Order,CUST0096,RING,STATEMENT PIECES,W20-2026,F1,MS,40,0,10K,298,328,186,246,44
Natural Diamond Ring Order,CUST0095,RING BRIDAL,VINTAGE STYLE,W41-2026,F10,MS,5,0,10K,40,72,101,141,113
Mined Diamond Bridal Set,CUST0097,RING BRIDAL,BRIDAL COLLECTION,W47-2026,F10,MS,33,0,09KPT,28,105,254,309,34
LGD Diamond Bangle,CUST0062,EARRING,EVERYDAY WEAR,W05-2026,F1,MS,28,0,U14K,404,332,216,156,142
LGD Diamond Ring Order,CUST0090,RING BRIDAL,BRIDAL COLLECTION,W16-2026,F3,MS,3,0,U18K,111,222,27,267,180
Mined Stone Brooch Order,CUST0085,RING,EVERYDAY WEAR,To Check,F4,MS,32,0,U18K,325,210,129,48,97
LGD Pendant Collection,CUST0033,RING,BRIDAL COLLECTION,Due,F2,MS,49,0,S928,845,384,249,110,172
LGD Diamond Ring Order,CUST0044,BROOCH,FASHION JEWELRY,W17-2026,F10,WS,0,44,10K,939,182,205,287,96
Natural Diamond Bangle Order,CUST0053,RING BRIDAL,FINE JEWELRY,Overdue,F10,WS/MS,24,5,09K,51,38,236,273,9
Mined Stone Brooch Order,CUST0098,EARRING,FASHION JEWELRY,W14-2026,F10,MS,20,0,PT95,125,20,48,185,94
LGD Solitaire Engagement Ring,CUST0051,NECKLACE,MODERN DESIGN,To Check,F10,WS,0,18,14K92,58,42,271,190,81
Mined Diamond Bridal Set,CUST0093,RING,STATEMENT PIECES,Due,F10,WS,0,34,10K92,355,252,175,142,31
LGD Pendant Collection,CUST0061,EARRING,LUXURY LINE,Overdue,F9,MS,8,0,U10K,110,183,135,176,101
LGD Pendant Collection,CUST0014,RING BRIDAL,VINTAGE STYLE,W39-2026,F2,WS,0,29,U18K,499,352,41,332,148
Natural Stone Pendant,CUST0053,BANGLE,FINE JEWELRY,W03-2026,F2,MS,28,0,14K92,699,384,215,362,61
Mined Diamond Bridal Set,CUST0073,NECKLACE,STATEMENT PIECES,W35-2026,F3,WS/MS,15,20,BRASS,635,131,67,51,187
Natural Diamond Bracelet,CUST0025,EARRING,BRIDAL COLLECTION,Overdue,F2,WS/MS,16,24,BRASS,401,255,25,141,82
Mined Stone Ring Collection,CUST0071,RING BRIDAL,EVERYDAY WEAR,W13-2026,F10,MS,40,0,U09K,323,11,202,118,10
Natural Diamond Bracelet,CUST0083,EAR PARTY,VINTAGE STYLE,W25-2026,F2,MS,22,0,18K,201,90,293,373,100
Natural Diamond Bracelet,CUST0093,PENDANT,VINTAGE STYLE,W17-2026,F4,WS,0,46,10K92,780,35,154,351,27
Mined Stone Brooch Order,CUST0081,RING,STATEMENT PIECES,Overdue,F9,WS/MS,24,5,09KPT,291,235,1,103,80
Mined Diamond Necklace Order,CUST0093,EARRING,FASHION JEWELRY,Overdue,F3,MS,6,0,PT95,495,138,127,204,190
LGD Diamond Bangle,CUST0011,BANGLE,FINE JEWELRY,Due,F10,MS,34,0,18K,872,198,116,114,88
Natural Diamond Bracelet,CUST0050,RING,MODERN DESIGN,W11-2026,F10,MS,27,0,09KPT,814,295,144,293,58
LGD Bridal Set Order,CUST0092,NECKLACE,MODERN DESIGN,W02-2026,F2,WS/MS,10,14,14K92,838,154,99,52,127
Natural Diamond Bracelet,CUST0019,RING,VINTAGE STYLE,W13-2026,F3,WS,0,42,10K92,24,471,299,27,82
LGD Tennis Bracelet Order,CUST0097,EAR PARTY,BRIDAL COLLECTION,W50-2026,F10,MS,32,0,S928,749,238,114,191,1
Mined Diamond Necklace Order,CUST0007,EARRING,LUXURY LINE,To Check,F1,WS/MS,24,28,18K,596,399,194,198,45
Natural Stone Pendant,CUST0086,EARRING,CLASSIC COLLECTION,To Check,F2,MS,12,0,18K,51,28,241,398,179
Natural Diamond Bangle Order,CUST0058,EARRING,FINE JEWELRY,Due,F3,MS,9,0,U14K,561,401,31,184,151
LGD Bridal Set Order,CUST0067,EARRING,STATEMENT PIECES,Overdue,F9,MS,48,0,U14K,598,277,246,102,136
Mined Diamond Necklace Order,CUST0007,BANGLE,FINE JEWELRY,W45-2026,F3,WS/MS,19,16,10K92,517,269,262,229,160
LGD Diamond Ring Order,CUST0070,EARRING,FINE JEWELRY,To Check,F10,MS,12,0,10K92,929,443,23,261,166
Mined Stone Ring Collection,CUST0090,RING BRIDAL,LUXURY LINE,W41-2026,F3,MS,41,0,10K,530,104,226,260,163
Natural Diamond Bangle Order,CUST0026,RING BRIDAL,FINE JEWELRY,Due,F4,MS,22,0,18K,79,175,38,53,112
Natural Diamond Anklet,CUST0041,RING,VINTAGE STYLE,W46-2026,F9,WS,0,7,09K,390,27,61,224,18
LGD Halo Ring Order,CUST0004,RING,BRIDAL COLLECTION,W48-2026,F10,MS,4,0,09K,189,22,210,329,153
Mined Stone Brooch Order,CUST0039,PENDANT,CLASSIC COLLECTION,W41-2026,F4,WS/MS,25,20,09K92,577,86,71,395,132
LGD Diamond Earring Set,CUST0016,BRACELET,EVERYDAY WEAR,W18-2026,F10,MS,8,0,S930,1000,266,27,346,12
Mined Stone Ring Collection,CUST0100,EARRING,FINE JEWELRY,Overdue,F4,WS/MS,3,23,BRASS,870,323,297,186,27
Mined Diamond Bridal Set,CUST0018,EARRING,BRIDAL COLLECTION,W02-2026,F2,WS,0,38,14K,101,155,36,170,187
LGD Tennis Bracelet Order,CUST0027,RING,EVERYDAY WEAR,Due,F9,MS,46,0,U09K,396,156,105,390,53
Mined Stone Ring Collection,CUST0056,RING BRIDAL,VINTAGE STYLE,W19-2026,F2,MS,40,0,S925,685,406,239,238,113
LGD Tennis Bracelet Order,CUST0050,BANGLE,EVERYDAY WEAR,W22-2026,F3,WS,0,26,PT95,948,252,59,151,26
Natural Diamond Bracelet,CUST0016,BANGLE,FINE JEWELRY,W24-2026,F10,MS,44,0,09KPT,601,28,95,217,195
Natural Diamond Bracelet,CUST0075,EARRING,STATEMENT PIECES,To Check,F4,WS/MS,11,28,09K92,50,168,21,94,119
LGD Diamond Earring Set,CUST0077,BRACELET,CLASSIC COLLECTION,W14-2026,F9,WS,0,44,PT95,103,419,205,100,78
Natural Diamond Anklet,CUST0025,BRACELET,STATEMENT PIECES,W41-2026,F1,WS,0,19,10K92,735,185,289,211,101
Mined Stone Brooch Order,CUST0076,RING,FASHION JEWELRY,W41-2026,F9,MS,35,0,09K92,902,408,46,253,131
Mined Diamond Necklace Order,CUST0062,EARRING,FASHION JEWELRY,W38-2026,F10,WS,0,27,09K,75,300,130,233,56
LGD Bridal Set Order,CUST0042,BANGLE,VINTAGE STYLE,W15-2026,F9,WS/MS,4,28,09KPT,999,151,166,63,184
Natural Diamond Anklet,CUST0021,RING,BRIDAL COLLECTION,W42-2026,F2,WS,0,38,09K,887,282,202,238,77
LGD Diamond Bangle,CUST0051,BANGLE,VINTAGE STYLE,Overdue,F9,MS,23,0,PT95,977,478,217,188,142
Mined Diamond Necklace Order,CUST0091,RING,STATEMENT PIECES,W09-2026,F9,MS,10,0,S928,298,222,243,193,109
Mined Diamond Bridal Set,CUST0094,RING BRIDAL,BRIDAL COLLECTION,W34-2026,F3,MS,39,0,PT95,830,26,14,167,195
Mined Stone Brooch Order,CUST0035,NECKLACE,FASHION JEWELRY,W13-2026,F10,MS,6,0,10K92,947,300,125,84,112
LGD Bridal Set Order,CUST0013,EARRING,EVERYDAY WEAR,W09-2026,F2,WS,0,10,14K,462,286,37,175,168
Natural Diamond Bangle Order,CUST0025,BANGLE,BRIDAL COLLECTION,Due,F10,MS,20,0,U18K,126,139,57,335,70
LGD Eternity Ring,CUST0085,NECKLACE,LUXURY LINE,Overdue,F2,WS,0,32,14K92,126,181,161,9,20
Mined Stone Earring Set,CUST0053,RING,VINTAGE STYLE,W39-2026,F3,WS,0,41,PT95,75,446,2,294,19
Natural Diamond Anklet,CUST0041,RING BRIDAL,FASHION JEWELRY,W19-2026,F9,WS,0,40,S925,371,51,295,243,65
LGD Solitaire Engagement Ring,CUST0069,BRACELET,MODERN DESIGN,Overdue,F10,MS,4,0,U18K,185,429,61,276,137
Mined Diamond Necklace Order,CUST0071,NECKLACE,EVERYDAY WEAR,W35-2026,F10,WS,0,37,S928,707,451,46,384,149
LGD Bridal Set Order,CUST0089,RING,BRIDAL COLLECTION,W45-2026,F10,WS/MS,30,17,S928,242,414,41,100,0
Mined Stone Ring Collection,CUST0096,BANGLE,BRIDAL COLLECTION,W28-2026,F10,MS,28,0,S930,202,152,263,67,1
Mined Diamond Necklace Order,CUST0038,RING,EVERYDAY WEAR,To Check,F2,WS,0,37,BRASS,825,464,298,262,98
Natural Diamond Bracelet,CUST0043,RING,LUXURY LINE,W38-2026,F9,MS,35,0,09K,435,383,85,260,0
Natural Stone Pendant,CUST0056,RING,VINTAGE STYLE,Due,F2,WS,0,19,09K92,174,435,58,265,155
LGD Tennis Bracelet Order,CUST0026,RING,BRIDAL COLLECTION,W29-2026,F1,WS,0,11,09KPT,60,218,142,74,174
Natural Diamond Ring Order,CUST0023,BRACELET,BRIDAL COLLECTION,W50-2026,F10,MS,48,0,09K,324,204,283,38,15
Natural Diamond Ring Order,CUST0002,RING,FINE JEWELRY,W19-2026,F2,MS,24,0,14K,938,232,227,37,6
LGD Solitaire Engagement Ring,CUST0009,ANKLET,MODERN DESIGN,W45-2026,F2,MS,24,0,18K,69,338,0,311,177
Natural Stone Pendant,CUST0024,RING BRIDAL,EVERYDAY WEAR,W35-2026,F10,MS,41,0,14K,343,114,39,97,67
Mined Stone Ring Collection,CUST0025,EARRING,BRIDAL COLLECTION,Due,F1,WS,0,30,10K92,542,186,116,332,24
LGD Diamond Ring Order,CUST0048,NECK PIECE,LUXURY LINE,W15-2026,F2,WS/MS,7,20,U14K,98,136,143,231,55
LGD Pendant Collection,CUST0035,BANGLE,CLASSIC COLLECTION,W10-2026,F9,WS,0,12,U14K,801,174,7,146,128
Mined Diamond Necklace Order,CUST0031,RING,FINE JEWELRY,W26-2026,F4,WS/MS,13,14,09K,92,22,179,4,50
Natural Diamond Bangle Order,CUST0057,EAR PARTY,CLASSIC COLLECTION,Due,F3,MS,43,0,U09K,417,464,150,281,39
LGD Diamond Necklace,CUST0026,RING,CLASSIC COLLECTION,W38-2026,F2,MS,10,0,09K92,588,251,47,22,96
Mined Stone Earring Set,CUST0060,EARRING,EVERYDAY WEAR,W09-2026,F10,MS,37,0,14K92,230,69,258,223,14
LGD Solitaire Engagement Ring,CUST0027,BRACELET,STATEMENT PIECES,W01-2026,F2,MS,44,0,U10K,284,295,272,377,27
Mined Stone Brooch Order,CUST0008,BRACELET,BRIDAL COLLECTION,W06-2026,F9,MS,41,0,14K92,236,227,74,4,123
LGD Solitaire Engagement Ring,CUST0099,BROOCH,MODERN DESIGN,W29-2026,F1,WS/MS,12,8,09K,232,374,194,370,54
Natural Diamond Bangle Order,CUST0022,PENDANT,LUXURY LINE,W51-2026,F10,MS,5,0,18K,491,183,106,161,8
LGD Solitaire Engagement Ring,CUST0037,EAR PARTY,CLASSIC COLLECTION,Overdue,F4,MS,6,0,U10K,326,413,141,325,15
Mined Stone Ring Collection,CUST0038,EARRING,BRIDAL COLLECTION,Due,F9,MS,5,0,14K,622,379,89,115,117
Mined Diamond Bridal Set,CUST0004,RING BRIDAL,MODERN DESIGN,W38-2026,F9,MS,49,0,PT95,809,171,137,146,144
Natural Diamond Anklet,CUST0065,RING,CLASSIC COLLECTION,W18-2026,F4,MS,3,0,10K,318,429,150,274,69
Mined Stone Brooch Order,CUST0069,RING,MODERN DESIGN,Due,F9,MS,45,0,14K,219,427,91,126,70
LGD Halo Ring Order,CUST0039,BRACELET,FINE JEWELRY,Due,F1,WS,0,14,09KPT,450,485,2,5,32
Mined Stone Ring Collection,CUST0022,RING,LUXURY LINE,Due,F3,WS,0,23,U14K,599,436,145,232,102
LGD Pendant Collection,CUST0032,BANGLE,CLASSIC COLLECTION,Overdue,F4,MS,27,0,14K,576,394,70,19,13
Mined Stone Brooch Order,CUST0040,BRACELET,MODERN DESIGN,W08-2026,F4,WS,0,10,U18K,89,95,35,14,141
Mined Stone Earring Set,CUST0066,RING,FASHION JEWELRY,W43-2026,F1,WS,0,48,S930,1,153,112,204,105
LGD Solitaire Engagement Ring,CUST0004,RING,STATEMENT PIECES,Due,F2,MS,45,0,10K92,782,187,114,104,79
LGD Diamond Ring Order,CUST0018,RING,VINTAGE STYLE,W06-2026,F1,WS/MS,21,13,14K92,960,52,46,79,162
LGD Diamond Bangle,CUST0079,NECKLACE,FINE JEWELRY,W03-2026,F4,MS,43,0,U18K,892,40,87,30,158
LGD Diamond Necklace,CUST0079,RING BRIDAL,VINTAGE STYLE,Overdue,F2,MS,27,0,S928,508,335,295,397,6
Mined Diamond Bridal Set,CUST0094,BRACELET,FINE JEWELRY,W02-2026,F10,WS,0,47,09K92,798,145,84,328,98
Natural Stone Pendant,CUST0012,RING BRIDAL,VINTAGE STYLE,W07-2026,F9,MS,50,0,S925,820,34,151,221,35
Natural Diamond Bracelet,CUST0070,RING,EVERYDAY WEAR,W46-2026,F2,MS,26,0,S928,398,188,231,155,194
Mined Diamond Bridal Set,CUST0027,RING,FINE JEWELRY,W11-2026,F1,WS/MS,11,10,U18K,812,205,239,344,191
Natural Diamond Bangle Order,CUST0034,RING,STATEMENT PIECES,W34-2026,F9,MS,14,0,10K,495,376,22,302,21
Natural Stone Pendant,CUST0024,BRACELET,FINE JEWELRY,W46-2026,F9,WS,0,37,BRASS,857,456,186,327,156
Natural Diamond Ring Order,CUST0055,RING BRIDAL,FINE JEWELRY,W09-2026,F1,MS,24,0,09K,728,161,89,131,166
Mined Stone Brooch Order,CUST0027,RING,EVERYDAY WEAR,W20-2026,F1,WS/MS,19,24,S930,202,166,155,54,118
Natural Diamond Bangle Order,CUST0098,RING,STATEMENT PIECES,W40-2026,F10,MS,45,0,09KPT,458,282,175,335,112
LGD Diamond Ring Order,CUST0029,NECK PIECE,VINTAGE STYLE,W43-2026,F2,WS,0,36,10K,835,269,176,372,46
Mined Stone Ring Collection,CUST0073,RING BRIDAL,MODERN DESIGN,W06-2026,F10,MS,40,0,10K,587,123,164,355,106
Mined Diamond Bridal Set,CUST0045,RING,FASHION JEWELRY,Overdue,F9,WS/MS,19,6,PT95,366,3,290,174,91
LGD Diamond Earring Set,CUST0055,EARRING,STATEMENT PIECES,W28-2026,F3,WS,0,22,09KPT,252,47,132,69,179
LGD Pendant Collection,CUST0092,NECKLACE,VINTAGE STYLE,W31-2026,F4,WS,0,31,09K92,72,392,161,22,103
Natural Diamond Bracelet,CUST0079,BANGLE,VINTAGE STYLE,W41-2026,F1,WS/MS,10,7,09K92,592,24,224,118,8
Natural Diamond Bracelet,CUST0032,EARRING,MODERN DESIGN,W33-2026,F3,WS,0,6,10K92,187,240,149,19,147
Natural Diamond Bracelet,CUST0062,RING,CLASSIC COLLECTION,W25-2026,F3,WS/MS,24,16,S925,93,347,263,392,107
LGD Pendant Collection,CUST0017,RING,FASHION JEWELRY,W15-2026,F2,MS,4,0,S930,570,276,197,161,22
Mined Diamond Bridal Set,CUST0075,NECKLACE,FASHION JEWELRY,W18-2026,F9,WS/MS,30,30,S925,631,420,295,49,10
Mined Stone Ring Collection,CUST0087,ANKLET,FASHION JEWELRY,W03-2026,F1,WS,0,46,18K,250,304,17,395,119
Natural Diamond Bracelet,CUST0067,EARRING,FINE JEWELRY,W35-2026,F9,WS,0,16,U14K,833,337,144,13,118
LGD Halo Ring Order,CUST0043,EARRING,FASHION JEWELRY,Due,F10,MS,10,0,10K92,507,446,87,351,108
LGD Pendant Collection,CUST0034,EARRING,FASHION JEWELRY,W17-2026,F1,WS,0,44,09KPT,503,342,52,250,51
